subject,session,trial,call_index,track_frame_idx,call_time,zone,zone_name,bat_x,bat_y,bat_z,beam_az_deg,beam_el_deg,lat_index,angle_from_midline_deg,is_preflight,is_zone1,is_junction
batA125,20260710,7,0,721,-15.27263541302184,1,approach,-0.9554877079649725,1.5381406387089647,1.2171775762740766,-137.91180151440122,5.816770946045556,-0.39480959529833115,-48.354909554976444,1,1,0
batA125,20260710,7,1,1258,-14.741634040317551,1,approach,-0.9550418952885844,1.5379420017859622,1.2172009320769108,-138.91492095610278,8.816744869832547,-0.4008816849676381,-49.353054293039406,1,1,0
batA125,20260710,7,2,1700,-14.300631236456802,1,approach,-0.9538323049649163,1.537093688911731,1.216968875400756,-137.93259633797155,5.822459052358558,-0.39490668066625,-48.35725407025893,1,1,0
batA125,20260710,7,3,2003,-13.99762747169381,1,approach,-0.9522215390954785,1.5361206229257482,1.2168947554854825,-137.95143239812248,5.825445338607887,-0.39498895092058967,-48.35812720114271,1,1,0
batA125,20260710,7,4,2124,-13.875624437779413,1,approach,-0.9510208851782146,1.53570430854311,1.216764457797006,-137.95625706332504,5.829224005523768,-0.3949697276222551,-48.349536327548435,1,1,0
batA125,20260710,7,5,2275,-13.724623969224726,1,approach,-0.9508339666421928,1.5352528171567603,1.2161013612700304,-137.96850955608934,5.8424526510776795,-0.3950672665493024,-48.35972740628131,1,1,0
batA125,20260710,7,6,2406,-13.59362111123116,1,approach,-0.9497704729506887,1.5346981805455635,1.2159902836631504,-41.978295204052415,4.845666475811053,0.3906820238400612,47.6423600178278,1,1,0
batA125,20260710,7,7,2694,-13.306617425032396,1,approach,-0.948419798948565,1.534236271399235,1.2165372741393559,-41.98350353322123,4.836186636127531,0.3907801442506237,47.65225032250092,1,1,0
batA125,20260710,7,8,2969,-13.031615280741388,1,approach,-0.9475774182790877,1.5345187246209235,1.2165525431369542,-88.96980893017084,8.836848785619315,0.00623235015075152,0.675399400503295,1,1,0
batA125,20260710,7,9,3105,-12.89561703040395,1,approach,-0.9483998933929061,1.5348739628343484,1.2163209592711035,-94.96443617075589,8.840627234842692,-0.049095561756024364,-5.328417424690485,1,1,0
batA125,20260710,7,10,3387,-12.613621071867103,1,approach,-0.949811738082613,1.535045486058765,1.2167578677156208,-137.96823121060876,5.830507374852182,-0.3950125309019835,-48.34801438739993,1,1,0
batA125,20260710,7,11,3578,-12.421622496456484,1,approach,-0.9502318028802634,1.534976153694684,1.2163542385413941,-137.97294038623957,5.838030421397308,-0.39507520180687017,-48.35743325169051,1,1,0
batA125,20260710,7,12,3901,-12.098624335859732,1,approach,-0.9508548497202717,1.5348410816964884,1.2164619817650155,-137.98088755554443,5.835200074839733,-0.3951765345259894,-48.37236839534188,1,1,0
batA125,20260710,7,13,4198,-11.80162451576504,1,approach,-0.9511888408013504,1.5354165998828406,1.217066279158566,-137.9658750015443,5.823004117625455,-0.3950623829086728,-48.36105572647142,1,1,0
batA125,20260710,7,14,4382,-11.617626624123117,1,approach,-0.9519067070631488,1.535905065032523,1.217280236605379,-137.95586489016193,5.818102465752547,-0.3950115935585966,-48.35904985168136,1,1,0
batA125,20260710,7,15,4678,-11.321630327989265,1,approach,-0.9532271214080016,1.5360516983748145,1.2167731630116772,-137.95982532919024,5.826756822177545,-0.39511362478780426,-48.37778596149616,1,1,0
batA125,20260710,7,16,4887,-11.112632275640904,1,approach,-0.9539166920049895,1.536190092970631,1.216462323797865,-137.96005394974264,5.83220534073966,-0.3951507939274638,-48.38572592032915,1,1,0
batA125,20260710,7,17,5247,-10.746635784506822,1,approach,-0.9552110122131308,1.53588751402319,1.216459651123289,-138.97724980946288,8.830800333798456,-0.4014291016982999,-49.41743953493949,1,1,0
batA125,20260710,7,18,5679,-10.321638887278175,1,approach,-0.9564845172274222,1.537075350050595,1.2160845266337679,-139.9498694194174,8.837134306260854,-0.40719522493712634,-50.40422305347673,1,1,0
batA125,20260710,7,19,5976,-10.023636824980906,1,approach,-0.9557882745165214,1.537696954535455,1.2167894935918755,-139.9269305935394,8.824041700889174,-0.40696565040326543,-50.3734389205091,1,1,0
batA125,20260710,7,20,6150,-9.849635127530654,1,approach,-0.955192615011769,1.5375320354075779,1.2171618439394856,-137.92809674826407,5.817265437435875,-0.39493680023512273,-48.36794984593078,1,1,0
